Church_Name,Address,Phone_Number,Website,No_of_Member,Ponster_Name
"
        ,Church (CCH)
        ","
			,
			43 Norwood St,
Everett MA  02149-2722,
USA
        ","
        ,781-391-2908
        ",http://cambridgesda.net,"
		,317","
		,Edsel Benjamin Cadet "
"
        ,
			,
			(,) 
			
        ","
			,
			50 Church St,
Everett MA  02149-2719,
USA
        ","
		,Rafael Solano ",http://cambridgehispanicma.adventistchurch.org,"
    	,
			PO Box 490935,
Everett MA  02149-0016,
USA
		","
		,138"
"
        ,Church (CCH)
        ","
			,
			5265 Carter Ave,
San Jose CA  95118-2812,
USA
        ","
        ,408-266-1144
        ",http://www.cambrianparkchurch.org,"
		,210","
		,Dennis Tello "
"
        ,Group (CG)
        ","
			,
			920 N Sharon Amity Rd,
Charlotte NC  28211-3138,
USA
        ","
        ,704-364-8973
        ",,"
    	,
			920 N Sharon Amity Rd,
Charlotte NC  28211-3138,
USA
		","
		,Thorn Hean "
"
        ,Group (CG)
        ","
			,
			225 W 9th St,
Lexington NC  27295-1611,
USA
        ","
        ,336-300-9628
        ",http://cambodianlexingtonnc.adventistchurch.org,"
    	,
			225 W 9th St,
Lexington NC  27295-1611,
USA
		","
		,Thorn Hean "
"
        ,
			,
			,
        ","
			,
			3975 Las Posas Rd,
Camarillo CA  93010-2533,
USA
        ","
			,
		,Jason Whitley  (Pastor - Associate)
        ",http://www.camarillosda.org,"
		,410","
		,Erwin Joham "
"
        ,Church (CCH)
        ","
			,
			Epiphany Lutheran Church,
14411 Old Columbia Pike,
Burtonsville MD  20866-1727,
USA
        ","
        ,301-445-1358
        ",http://calvarysouthernasian22.adventistchurchconnect.org,"
    	,
			C/O,
15218 Lions Den Rd,
Burtonsville MD  20866-5600,
USA
		","
		,63"
"
        ,
			,
			(,) 
			
        ","
			,
			1200 17th St,
Newport News VA  23607-5910,
USA
        ","
        ,757-244-0913
        ",http://calvaryadventist.org,"
		,622","
		,T. DuWayne Privette "
"
        ,
			,
			(,) 
			
        ","
			,
			105 North Vine St,
Campbellsville KY  42718-9239,
USA
        ","
        ,502-465-4693
        ",http://calvary27.adventistchurchconnect.org,"
		,18","
		,Michael B. Harris "
"
        ,Church (CCH)
        ","
			,
			1518 N Fillmore St,
Davenport IA  52804-3721,
USA
        ","
        ,319-322-0940
        ",http://calvary26.adventistchurchconnect.org,"
		,166","
		,Richard W. Palmer Jr"
"
        ,
			,
			(,) 
			
        ","
			,
			827 Trumbull Ave,
Bridgeport CT  06606-2438,
USA
        ","
		,Cornel Miller ",http://www.calvarysda.com,"
    	,
			PO Box 1861,
Bridgeport CT  06601-1861,
USA
		","
		,569"
"
        ,Church (CCH)
        ","
			,
			P.O. Box 534,
200 Charles St,
Gordonsville VA  22942,
USA
        ","
        ,540-832-7216
        ",http://calvarygordonsvilleva.adventistchurch.org,"
    	,
			PO Box 534,
Gordonsville VA  22942-0534,
USA
		","
		,31"
"
        ,
			,
			(,) 
			
        ","
			,
			Niles Inn & Conference Center,
930 S 11th St,
Niles MI  49120-3403,
USA
        ","
		,Mark Youngberg ",http://www.calvaryroadcommunitychurch.org,"
    	,
			8666 Maplewood Dr # 1,
Berrien Springs MI  49103-1418,
USA
		","
		,90"
"
        ,Church (CCH)
        ","
			,
			778 Lexington Ave,
Brooklyn NY  11221-2944,
USA
        ","
        ,718-919-9592
        ",http://calvaryfirstnigerianny.adventistchurch.org,"
		,153","
		,Mark Brathwaite "
"
        ,
			,
			(,) 
			
        ","
			,
			2102 Grant St,
Calistoga CA  94515-1346,
USA
        ","
		,Matthew McMearty ",http://calistogasda.org,"
    	,
			PO Box 557,
Calistoga CA  94515-0557,
USA
		","
		,132"
"
        ,
			,
			,
        ","
			,
			Corner of 4th & Myrtlewood,
391 Myrtlewood Dr,
Calimesa CA  92320-1649,
USA
        ","
		,Jon V Ciccarelli ",http://www.calimesasda.com,"
    	,
			PO Box 647,
Calimesa CA  92320-0647,
USA
		","
		,1284"
"
        ,Monday, October 31, 2016
        ","
			,
			115 Peters Street,
Calhoun GA  30701,
USA
        ","
        ,706-618-1182
        ",http://calhounemmanuelhispanicga.adventistchurch.org,"
		,41","
		,Jose Reyes "
"
        ,
			,
			(,) 
			
        ","
			,
			1411 Rome Rd SW,
Calhoun GA  30701-3290,
USA
        ","
        ,706-629-5470
        ",http://calhounadventistchurch.com,"
		,879","
		,Mark Piotrowski "
"
        ,
			,
			(,) 
			
        ","
			,
			1425 Highway 41 N,
Calhoun GA  30701,
USA
        ","
		,Rene Hernandez ",http://calhounhispanicga.adventistchurch.org,"
    	,
			1425 Highway 41 N,
Calhoun GA  30701,
USA
		","
		,200"
"
        ,
			,
			(,) 
			
        ","
			,
			501 E 2nd St,
Calexico CA  92231-2848,
USA
        ","
		,Hugo A Guillen ",http://calexicospanish22.adventistchurchconnect.org,"
    	,
			PO Box 3209,
Calexico CA  92232-3209,
USA
		","
		,355"
"
        ,
			,   ,: UTC-7
		","
			,
			2106 E Linden St,
Caldwell ID  83605-5974,
USA
        ","
		,Louis Fitting ",http://caldwellsda.org,"
    	,
			2106 E Linden St,
Caldwell ID  83605-5974,
USA
		","
		,584"
"
        ,Church (CCH)
        ","
			,
			8 Chapel St,
Calais ME  04619-1006,
USA
        ","
		,Josias Baez-Roman ",http://calaisme.adventistchurch.org,"
    	,
			PO Box 927,
Calais ME  04619-0927,
USA
		","
		,57"
"
        ,Church (CCH)
        ","
			,
			416 27th St,
Cairo IL  62914-1440,
USA
        ","
		,Thomas Ferguson ",http://cairoil.adventistchurch.org,"
    	,
			PO Box 325,
Cairo IL  62914-0325,
USA
		","
		,11"
"
        ,
			,
			(,) 
			
        ","
			,
			1102 Park Blvd,
Cairo GA  39828-1879,
USA
        ","
		,Jose Norberto Briones ",http://cairohispanicga.adventistchurch.org,"
    	,
			c/o Erclain Velazquez,
820 2nd Ave NE,
Cairo GA  39828-2212,
USA
		","
		,59"
"
        ,Church (CCH)
        ","
			,
			1029 Caffin Ave,
New Orleans LA  70117-2503,
USA
        ","
        ,504.945.5968
        ",http://www.caffinavesda.org,"
		,215","
		,James Roberts "
"
        ,Church (CCH)
        ","
			,
			801 E Division St,
Cadillac MI  49601-2015,
USA
        ","
        ,231-775-9545
        ",http://www.cadillacsda.org,"
		,200","
		,Pat Milligan "
"
        ,Church (CCH)
        ","
			,
			3090 W 13th St,
Cadillac MI  49601-9059,
USA
        ","
		,Robert Benson ",http://cadillacwest22.adventistchurchconnect.org,"
    	,
			Ron Greenman,
3920 E 24 Rd,
Cadillac MI  49601-9144,
USA
		","
		,76"
"
        ,
			,
			(,) 
			
        ","
			,
			2500 Grand Ave,
PO Box 3043,
Butte MT  59702-3043,
USA
        ","
		,Michael Hope ",http://butteadventist23.adventistchurchconnect.org,"
    	,
			PO Box 3043,
Butte MT  59702-3043,
USA
		","
		,107"
"
		,
		","
			,
			21 W Dakota St,
Butler MO  64730-2007,
USA
        ","
		,
			,
			
		",http://butlerlivingwordmo.adventistchurch.org,"
        ,
			,
			
        ","
        ,
        "
"
        ,Company (CCO)
        ","
			,
			2176 West Hoosick Road,
Buskirk NY  12028,
USA
        ","
        ,518-686-4524
        ",http://www.buskirk22.adventistchurchconnect.org,"
		,30","
		,Roman Beresnev "
"
        ,
			,
			(,) 
			
        ","
			,
			202 E Seminole Ave,
Bushnell FL  33513-6810,
USA
        ","
		,Daniel M Forbes ",http://bushnell22.adventistchurchconnect.org,"
    	,
			PO Box 1334,
Bushnell FL  33513-0077,
USA
		","
		,15"
"
        ,
			,
			(,) 
			
        ","
			,
			854 Victory Hwy,
Mapleville RI  02839-1258,
USA
        ","
		,Joseph Piresson ",http://burrillvilleri.adventistchurch.org/,"
    	,
			PO Box 186,
Mapleville RI  02839-0186,
USA
		","
		,60"
"
        ,Church (CCH)
        ","
			,
			725 75th St,
Darien IL  60561-4239,
USA
        ","
        ,630-789-3840
        ",http://www.burrridgeadventist.org,"
    	,
			PO Box 426,
Hinsdale IL  60522-0426,
USA
		","
		,137"
"
        ,
			,
			(,) 
			
        ","
			,
			10915 Lockwood Dr,
Silver Spring MD  20901-4509,
USA
        ","
        ,301-593-8496
        ",http://burntmills22.adventistchurchconnect.org/,"
		,262","
		,Daniel D Royo "
"
        ,
			,
			(,) 
			
        ","
			,
			283 Crest View Rd,
Burnsville NC  28714-8412,
USA
        ","
		,Ed Couser ",http://Burnsvilleadventists.com,"
    	,
			C/O Constance Bruce,
445 Cliffs of Ivy Rd,
Burnsville NC  28714-6109,
USA
		","
		,49"
"
		,
		","
			,
			3650 Williams Dr,
Burnsville MN  55337-1765,
USA
        ","
        ,
        ",http://burnsvillehispanicmn.adventistchurch.org,"
    	,
			C/O Alicia Aguilar,
17544 Gillette Way,
Lakeville MN  55044-3404,
USA
		","
		,Noel Rosabal Perez "
"
        ,Church (CCH)
        ","
			,
			306 N Buena Vista Ave,
Burns OR  97720-1723,
USA
        ","
        ,541-573-3158
        ",http://burnsor.adventistchurch.org,"
    	,
			PO Box 508,
Burns OR  97720-0508,
USA
		","
		,39"
"
        ,Thursday, November 1, 2018
        ","
			,
			25213 116th Ave SE,
Kent WA  98030-6537,
USA
        ","
        ,
        ",http://burmesewa.adventistchurch.org,"
		,Willie Iwankiw ","
        ,253-852-3883
        "
"
        ,
			,
			(,) 
			
        ","
			,
			151 N Wilkins Rd,
Haw River NC  27258-9767,
USA
        ","
		,German P Morell ",http://burlingtonspanishnc.adventistchurch.org,"
    	,
			3040 Bluebird Ln Apt 300,
Mebane NC  27302-9920,
USA
		","
		,63"
"
        ,
			,
			(,) 
			
        ","
			,
			501 8th St,
Burlington CO  80807-1917,
USA
        ","
		,Donald W Lopes Jr",http://burlington25.adventistchurchconnect.org,"
    	,
			Charles Long,
783 Lowell Ave,
Burlington CO  80807-1919,
USA
		","
		,7"
"
        ,
			,
			(,) 
			
        ","
			,
			320 W Main St,
Burlington MI  49029-9792,
USA
        ","
		,Bayani II Pastrana ",http://www.burlingtonadventist.com,"
    	,
			PO Box 149,
Burlington MI  49029-0149,
USA
		","
		,51"
"
        ,
			,
			(,) 
			
        ","
			,
			256 Conover St,
Burlington NJ  08016-1307,
USA
        ","
		,Bruce A. Banner ",http://burlington22.adventistchurchconnect.org,"
    	,
			PO Box 127,
Willingboro NJ  08046-0127,
USA
		","
		,122"
"
        ,
			,
			(,) 
			
        ","
			,
			802 S 14th St,
Burlington IA  52601-3938,
USA
        ","
		,Joe (Jose) E Arellano ",http://burlington24.adventistchurchconnect.org,"
    	,
			PO Box 126,
Burlington IA  52601-0126,
USA
		","
		,88"
,"
			,
			638 Parry Ave,
Palmyra NJ  08065-2502,
USA
        ","
		,
			,
			
		",http://burlingtoncountybraziliannj.adventistchurch.org,"
		,Izair de Souza Costa ","
        ,
        "
"
        ,Monday, October 31, 2016
        ","
			,
			629 Cameron St,
Burlington NC  27215-5915,
USA
        ","
        ,336-228-6407
        ",http://burlingtonphiladelphianc.adventistchurch.org,"
		,31","
		,Michael Olaye "
"
        ,
			,
			(,) 
			
        ","
			,
			335 SW Thomas St,
Burleson TX  76028-4609,
USA
        ","
		,Sergio Rodriguez ",http://burlesonadventista.org,"
    	,
			PO Box 238,
Burleson TX  76097-0238,
USA
		","
		,171"
"
        ,
			,   ,: UTC-6
		","
			,
			601 S Burleson Blvd,
Burleson TX  76028-4903,
USA
        ","
		,Kevin Walkowiak ",http://www.burlesonsda.com,"
    	,
			PO Box 208,
Burleson TX  76097-0208,
USA
		","
		,547"
"
        ,Monday, September 19, 2016
        ","
			,
			1064 S Main St,
Burkesville KY  42717-9401,
USA
        ","
        ,270-433-5353
        ",http://burkesvillesda22.adventistchurchconnect.org,"
		,21","
		,J Fred Calkins "
"
        ,Church (CCH)
        ","
			,
			Springfield Christian Church,
5407 Backlick Rd,
Springfield VA  22151-3915,
USA
        ","
		,Jose A Barrientos Sr.",http://burkespanishva.adventistchurch.org,"
    	,
			C/O Maria Monje,
5444 Safe Harbor Ct,
Fairfax VA  22032-3319,
USA
		","
		,51"
"
        ,
			,
			(,) 
			
        ","
			,
			C/O White Center Spanish SDA Church,
8611 11th Ave SW,
Seattle WA  98106-2401,
USA
        ","
        ,425-273-4940
        ",http://burienspanishwa.adventistchurch.org,"
    	,
			C/O Pastor Jim Leon,
2211 S Star Lake Rd Apt 40-102,
Federal Way WA  98003-3436,
USA
		","
		,Jim Leon "
"
        ,
			,
			(,) 
			
        ","
			,
			715 W Bridgers St,
PO Box 1183,
Burgaw NC  28425-1183,
USA
        ","
		,Cornelius Wesley ",http://burgaw22.adventistchurchconnect.org,"
    	,
			PO Box 1183,
Burgaw NC  28425-1183,
USA
		","
		,15"
"
        ,
			,
			(,) 
			
        ","
			,
			710 S Glenoaks Blvd,
Burbank CA  91502-1427,
USA
        ","
        ,818-848-7051
        ",http://www.burbanksda.com,"
		,69","
		,Branden K Stoltz "
"
        ,
			,
			(,) 
			
        ","
			,
			8351 New Castle Ave,
Burbank IL  60459-2302,
USA
        ","
		,Samuel Indreiu ",http://burbank22.adventistchurchconnect.org,"
    	,
			8351 New Castle Ave,
Burbank IL  60459-2302,
USA
		","
		,99"
"
        ,Church (CCH)
        ","
			,
			3820 Williamston Rd,
Stockbridge MI  49285-9679,
USA
        ","
        ,517-589-0659
        ",http://bunkerhillmi.adventistchurch.org,"
    	,
			C/O Pat Lykins,
3860 Wellman Rd,
Parma MI  49269-9739,
USA
		","
		,22"
"
        ,
			,
			(,) 
			
        ","
			,
			1752 Arriba Dr,
Bullhead City AZ  86442-7260,
USA
        ","
		,Ronald du Preez ",http://bullheadcity22.adventistchurchconnect.org,"
    	,
			PO Box 21406,
Bullhead City AZ  86439-1406,
USA
		","
		,96"
"
        ,
			,
			(,) 
			
        ","
			,
			1523 E 4100 N,
PO Box 388,
Buhl ID  83316-0388,
USA
        ","
		,D Lynn Bryson ",http://buhl22.adventistchurchconnect.org,"
    	,
			PO Box 388,
Buhl ID  83316-0388,
USA
		","
		,52"
"
        ,
			,
			(,) 
			
        ","
			,
			5106B Bristol Industrial Way Ste 100,
Buford GA  30518-9013,
USA
        ","
        ,678-292-5954
        ",http://bufordfamilysda.org,"
		,225","
		,Keith Ingram II"
"
        ,Monday, June 11, 2018
        ","
			,
			5580 Genesee St,
Lancaster NY  14086-9790,
USA
        ","
        ,716-684-2943
        ",http://www.sonlightcafe.org,"
		,558","
		,Luis Mancebo "
"
        ,Church (CCH)
        ","
			,
			201 Aspen Dr,
Buffalo WY  82834-9435,
USA
        ","
        ,307-684-9062
        ",http://buffalowy.adventistchurch.org,"
    	,
			PO Box 851,
Buffalo WY  82834-0851,
USA
		","
		,27"
"
        ,
			,
			(,) 
			
        ","
			,
			213 Vermont St,
Buffalo NY  14213-2551,
USA
        ","
		,Caleb Casildo ",http://buffalohispanicny2.adventistchurch.org,"
    	,
			PO Box 516,
Buffalo NY  14205-0516,
USA
		","
		,39"
,,"
        ,Latitude:
			,, Longitude:
			-78.833730
			, Source:
			,
        ",http://www.buffalo22.adventistchurchconnect.org,"
        ,716-316-0018
        ","
        ,
        "
"
        ,
			,
			(,) 
			
        ","
			,
			152 Oakwood Dr,
Kissimmee FL  34743-4304,
USA
        ","
        ,321-805-1839
        ",http://buenaventuralakesspanish22.adventistchurchconnect.org/,"
		,115","
		,Idalberto Torres "
"
        ,Church (CCH)
        ","
			,
			2335 Magnolia Ave,
Buena Vista VA  24416-3023,
USA
        ","
        ,540-261-2050
        ",http://buenavista22.adventistchurchconnect.org,"
		,156","
		,Robert Banks "
"
        ,Church (CCH)
        ","
			,
			5297 Keyes Rd,
Utica NY  13502-2049,
USA
        ","
        ,315-732-0525
        ",http://uticahispanicny.adventistchurch.org,"
    	,
			C/O Rolando Gomez,
128 Floyd Ave,
Deerfield NY  13502-1019,
USA
		","
		,85"
"
        ,Church (CCH)
        ","
			,
			1980 Stetzer Rd,
Bucyrus OH  44820-2034,
USA
        ","
        ,419-562-5243
        ",http://bucyrus22.adventistchurchconnect.org,"
		,63","
		,Marcellus de Oliveira "
"
        ,Church (CCH)
        ","
			,
			10 Greene Rd,
Warminster PA  18974-4422,
USA
        ","
        ,215-672-3011
        ",http://www.bcadventistchurch.org,"
    	,
			PO Box 167,
Warminster PA  18974-0517,
USA
		","
		,218"
"
        ,Group (CG)
        ","
			,
			c/o Huntingdon Valley Christian Academy,
1845 Byberry Rd,
Huntingdon Valley PA  19006-3501,
USA
        ","
        ,267-884-1427
        ",,"
    	,
			c/o Pastor Saud Elias,
1226 Brighton St,
Philadelphia PA  19111-4245,
USA
		","
		,Saud E Elias "
"
        ,
			,
			(,) 
			
        ","
			,
			1122 Brushy Fork Rd,
Buckhannon WV  26201,
USA
        ","
		,Richard J. Cutright ",http://buckhannon22.adventistchurchconnect.org,"
    	,
			PO Box 205,
Buckhannon WV  26201-0205,
USA
		","
		,112"
"
        ,
			,
			(,) 
			
        ","
			,
			501 N 4th St,
Buckeye AZ  85326-2767,
USA
        ","
		,Hector De Armas ",http://buckeyespanishaz.adventistchurch.org,"
    	,
			c/o Buckeye Spanish,
PO Box 1288,
Buckeye AZ  85326-0094,
USA
		","
		,76"
"
        ,
			,
			(,) 
			
        ","
			,
			3115 Niles Buchanan Rd,
Buchanan MI  49107-9443,
USA
        ","
		,Roberto Gonzalez ",http://buchanansdachurch.org,"
    	,
			PO Box 9,
Buchanan MI  49107-0009,
USA
		","
		,152"
"
        ,
			,
			(,) 
			
        ","
			,
			1122 Highway 19 S,
Bryson City NC  28713-6528,
USA
        ","
		,Glenn Marshall ",http://brysoncitync.adventistchurch.org,"
    	,
			PO Box 1729,
Bryson City NC  28713-1729,
USA
		","
		,28"
"
        ,
			,
			(,) 
			
        ","
			,
			3409 Old Hearne Rd,
Bryan TX  77803-0852,
USA
        ","
        ,979-575-2035
        ",http://verbib.org,"
    	,
			3409 Old Hearne Rd,
Bryan TX  77803-0852,
USA
		","
		,32"
"
        ,
			,
			(,) 
			
        ","
			,
			104 Park Way,
Brunswick GA  31520-1518,
USA
        ","
		,Arnold Schnell ",http://brunswick23.adventistchurchconnect.org,"
    	,
			104 Park Way,
Brunswick GA  31520-1518,
USA
		","
		,64"
"
        ,
			,
			(,) 
			
        ","
			,
			333 Maine St,
Brunswick ME  04011-3309,
USA
        ","
		,Nathan Stearman ",http://www.brunswicksdachurch.org,"
    	,
			PO Box 280,
Brunswick ME  04011-0280,
USA
		","
		,429"
"
        ,
			,
			(,) 
			
        ","
			,
			3019 Norwich St,
Brunswick GA  31520-4548,
USA
        ","
		,Walter Britton ",http://brunswickhispanicga.adventistchurch.org,"
    	,
			PO Box 3170,
Brunswick GA  31521-3170,
USA
		","
		,136"
"
        ,Church (CCH)
        ","
			,
			2211 Avenue D,
Brownwood TX  76801-4366,
USA
        ","
        ,325-646-1924
        ",http://brownwoodtx.adventistchurch.org,"
		,41","
		,Jerry Chastain "
"
        ,Church (CCH)
        ","
			,
			1085 Clarkson Ave,
Brooklyn NY  11212-2138,
USA
        ","
        ,718-345-3689
        ",http://brownsvilletempleny.adventistchurch.org,"
		,360","
		,Herman Charles "
"
        ,
			,
			(,) 
			
        ","
			,
			3515 Old Hwy Ste 77,
Brownsville TX  78520,
USA
        ","
		,Josue Munoz ",http://brownsvillespanish22.adventistchurchconnect.org,"
    	,
			PO Box 4774,
Brownsville TX  78523-4774,
USA
		","
		,395"
"
        ,
			,
			(,) 
			
        ","
			,
			9148 Nero Rd,
Brownsville CA  95919-9735,
USA
        ","
		,Bob D Fisher ",http://brownsvillesdachurch.org,"
    	,
			PO Box 189,
Brownsville CA  95919-0189,
USA
		","
		,92"
"
        ,
			,
			(,) 
			
        ","
			,
			243 Old Port Isabel Rd,
Brownsville TX  78521-3544,
USA
        ","
		,Marlon Adauto Wallace ",http://www.brownsvilleadventist.com/,"
    	,
			PO Box 3745,
Brownsville TX  78523-3745,
USA
		","
		,179"
"
        ,
			,
			(,) 
			
        ","
			,
			4172 N County Road 900 E,
Brownsburg IN  46112-9496,
USA
        ","
		,Jose L. Medina Jr.",http://brownsburgin.adventistchurch.org,"
    	,
			PO Box 252,
Brownsburg IN  46112-0252,
USA
		","
		,166"
"
        ,
			,
			(,) 
			
        ","
			,
			527 Lakehurst Rd,
Browns Mills NJ  08015-6042,
USA
        ","
		,Eduardo Monteiro ",http://www.brownsmillssdachurch.org/,"
    	,
			PO Box 1294,
Browns Mills NJ  08015-8294,
USA
		","
		,89"
"
        ,Church (CCH)
        ","
			,
			991 W Jefferson St,
Brooksville FL  34601-2427,
USA
        ","
		,Eric M Doran ",http://brooksville22.adventistchurchconnect.org,"
    	,
			PO Box 1148,
Brooksville FL  34605-1148,
USA
		","
		,117"
"
        ,Church (CCH)
        ","
			,
			3 Lewis Ave,
Brooklyn NY  11206-5905,
USA
        ","
        ,718-452-2855
        ",http://www.brooklyntemple.org,"
		,204","
		,Rohan Simpson "
"
        ,Church (CCH)
        ","
			,
			4651 State Rd,
Cleveland OH  44109-5201,
USA
        ","
        ,216-398-3844
        ",http://brooklyn24.adventistchurchconnect.org,"
		,76","
		,Laszlo Hangyas "
"
        ,
			,
			(,) 
			
        ","
			,
			1260 Ocean Ave,
Brooklyn NY  11230-7401,
USA
        ","
        ,718-859-1313
        ",http://BrooklynSDA.org,"
		,477","
		,Eddly B. Benoit "
"
		,
		","
			,
			221 Kingston Ave,
Brooklyn NY  11213-2508,
USA
        ","
        ,718-790-8897
        ",http://brooklynghanafellowshipny.adventistchurch.org,"
		,31","
		,Sampson Appiah-Kubi "
"
        ,Church (CCH)
        ","
			,
			5518 Church Ave,
Brooklyn NY  11203-3718,
USA
        ","
        ,718-342-6712
        ",http://www.brooklynfaith.org,"
		,1236","
		,Roger Williamson "
"
        ,
			,
			(,) 
			
        ","
			,
			250 Brooklawn Ave,
Bridgeport CT  06604-2012,
USA
        ","
        ,203-333-2876
        ",http://www.brooklawn.org,"
		,305","
		,Michael C Ulett "
"
        ,
			,
			(,) 
			
        ","
			,
			102 Park Ave,
Brookings OR  97415-2523,
USA
        ","
		,Barry Kimbrough ",http://www.brookingssda.org,"
    	,
			PO Box 777,
Brookings OR  97415-0009,
USA
		","
		,162"
"
        ,
			,
			(,) 
			
        ","
			,
			1681 Highway 51 NE,
Brookhaven MS  39601-9089,
USA
        ","
		,Marcus O Harden ",http://brookhaven22.adventistchurchconnect.org,"
    	,
			PO Box 395,
Brookhaven MS  39602-0395,
USA
		","
		,70"
"
        ,
			,
			(,) 
			
        ","
			,
			1695 Washington Ave,
Bronx NY  10457-7403,
USA
        ","
        ,718-299-3966
        ",http://bxsdachurch.org,"
		,512","
		,J. Kendall Guy "
"
        ,Company (CCO)
        ","
			,
			1111 Morris Ave,
Bronx NY  10456-4752,
USA
        ","
        ,718-926-1788
        ",http://bronxfrancohaitianny.adventistchurch.org,"
		,35","
		,Yves-Carlo Phaeton "
"
        ,
			,
			(,) 
			
        ","
			,
			21385 E 44th St S,
Broken Arrow OK  74014-1406,
USA
        ","
        ,626-945-4103
        ",http://broken22.adventistchurchconnect.org,"
    	,
			10163 E 28th St,
Tulsa OK  74129-7460,
USA
		","
		,22"
"
        ,
			,
			(,) 
			
        ","
			,
			1311 N Kenwood Dr,
Broken Arrow OK  74012-1934,
USA
        ","
        ,918-251-2450
        ",http://brokenarrow22.adventistchurchconnect.org,"
    	,
			PO Box 245,
Broken Arrow OK  74013-0245,
USA
		","
		,113"
"
        ,Church (CCH)
        ","
			,
			P.O. Drawer S,
5563 E Main Rd,
Brocton NY  14716-9633,
USA
        ","
        ,716-792-9426
        ",http://broctonny.adventistchurch.org,"
		,33","
		,Zechariah Musselman "
"
        ,
			,
			(,) 
			
        ","
			,
			235 Court St,
Brockton MA  02302-4610,
USA
        ","
        ,508-588-8436
        ",http://brocktontemplefrench22.adventistchurchconnect.org,"
		,596","
		,Wancy Magny "
"
        ,Church (CCH)
        ","
			,
			752 Oak St,
Brockton MA  02301-1100,
USA
        ","
        ,508-584-6575
        ",http://brockton22.adventistchurchconnect.org,"
    	,
			PO Box 88,
Brockton MA  02303-0088,
USA
		","
		,248"
"
        ,
			,
			(,) 
			
        ","
			,
			127 Quincy St,
Brockton MA  02302-2924,
USA
        ","
		,Marcos Seifert ",http://brocktonportuguesema.adventistchurch.org,"
    	,
			PO Box 983,
Brockton MA  02303-0983,
USA
		","
		,311"
"
        ,Church (CCH)
        ","
			,
			677 East St,
Brockton MA  02302-4406,
USA
        ","
		,Miguel Calderon ",http://brocktonhispanicma.adventistchurch.org,"
    	,
			c/o Richard Romero,
537 Montello St,
Brockton MA  02301-6056,
USA
		","
		,76"
"
        ,
			,
			,
        ","
			,
			155 W Elm St,
Brockton MA  02301-4326,
USA
        ","
		,Joao Felix S. Monteiro ",http://brocktoncapeverdeanma.adventistchurch.org,"
    	,
			PO Box 2661,
Brockton MA  02305-2661,
USA
		","
		,271"
"
        ,Church (CCH)
        ","
			,
			161 W 93rd St,
New York NY  10025-7543,
USA
        ","
        ,212-663-4084
        ",http://broadwayspanish22.adventistchurchconnect.org,"
		,260","
		,Ephraim Peña "
"
        ,
			,
			(,) 
			
        ","
			,
			3101 S 25th Ave,
Broadview IL  60155-4527,
USA
        ","
		,Paul Lowe ",http://broadview22.adventistchurchconnect.org,"
    	,
			PO Box 6275,
Maywood IL  60155-6275,
USA
		","
		,47"
